Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
,TURMERIC,,,69.4,,,,,,,,150,,0,,0.1,0.4,,,,,,67.8,,,,,,278,8.4,,0,,1,,,,,282,0,,,0,,0,,,,,,,,,,,,2.7
,AMBADA,,,4.5,,,,,,,,36,,0,,0,0,,,,,,3.9,,,,,,0,0,,0,,1,,,,,11,0,,,0,,0,,,,,,,,,,,,0
,AMLA,,,13.7,,,,,,,,50,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,20,225,,,5,,0,,,,,,,,,,,,0
240,APPLE,fruits,59,13.4,,0.2,0.5,,,170,,10,0,1,321,0,0.1,80,0,0,120,2.3,0.66,220,390,,,370,7,0.1,50,0,0,1,,,,160,14,75,0,0.9,28,,7,3.2,0,230,,0.03,,,60,90,250,1,0.1
241,"APRICOT, fresh",,53,11.6,,1,0.3,,,80,,20,2160,0,0,0,0.1,0,0,0,100,,2.2,110,180,,,180,0,0,30,0,0.6,1,,,,100,25,430,0.1,,0,,0,,0,130,,0.16,,,0,80,150,6,0
,"APRICOT, dried",,,73.4,,,,,,,,110,,0,,0,0,,,,,,4.6,,,,,,0,0,,0,,1,,,,,70,0,,,0,,0,,,,,,,,,,,,0
243,AVOCADO PEAR,,215,0.8,,1.7,22.8,,,210,,10,0,0,0,0,0,0,0,0,110,,0.7,210,340,,,310,0,0,90,0,0,1,,,,220,80,0,0,,0,,0,,0,180,,0.27,,,60,140,290,0,0
,BAEL FRUIT,,,31.8,,,,,,,,85,,0,,0,0.2,,,,,,0.6,,,,,,0,0,,0,,1,,,,,50,600,,,0,,0,,,,,,,,,,,,0
245,BANANA RIPE,fruits,116,27.2,,1.2,0.3,,,360,,17,78,8,0,0,0.2,170,0,0,370,1.1,0.36,250,320,,,270,41,0.2,80,0,0.5,1,,,,260,36,88,0.1,0.7,36.6,,7,1.8,0.1,190,,0.19,,,70,160,260,7,0.2
,BANYAN TREE FIGS,,,11.8,,,,,,,,364,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,43,0,,,0,,0,,,,,,,,,,,,0
,BILIMBI,,,3.5,,,,,,,,15,,0,,0,0.1,,,,,,1.2,,,,,,0,0,,0,,1,,,,,10,130,,,0,,0,,,,,,,,,,,,0
,BREAD FRUIT,,,15.8,,,,,,,,40,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,BULLOCK'S HEART,,,15.7,,,,,,,,10,,0,,0,0,,,,,,0.6,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
,CAPE GOOSEBERRY,,,11.1,,,,,,,,10,,12,,0,0.2,,,,,,2,,,,,,31,0,,0,,1,,,,,67,320,,,0.9,,43,,,,,,,,,,,,0
,CASHEW FRUIT,,,12.3,,,,,,,,10,,0,,0,0,,,,,,0.2,,,,,,0,0,,0,,1,,,,,10,0,,,0,,0,,,,,,,,,,,,0
,"CHERRIES, red",,,13.8,,,,,,,,24,,0,,0,0.1,,,,,,0.57,,,,,,27,0.8,,0,,1,,,,,25,320,,,0,,0,,,,,,,,,,,,0.3
,"CURRANTS, black",,,75.2,,,,,,,,130,,0,,0,0,,,,,,8.5,,,,,,0,0,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0
254,"DATES, dried",,317,75.8,,2.5,0.4,,,150,,120,26,0,0,0,0,120,0,0,50,,7.3,150,260,,,190,0,0,50,0,0.9,1,,,,170,50,0,0,,0,,0,,0,180,,0.4,,,0,50,220,3,0
,DATES fresh,,,33.8,,,,,,,,22,,0,,0,0.1,,,,,,0.96,,,,,,12,0,,0,,1,,,,,38,0,,,0,,0,,,,,,,,,,,,0
256,FIGS (Ficus carcia),fruits,37,7.6,,1.3,0.2,,,140,,80,3,0,0,0,0,100,0,0,90,2.6,1,190,270,,,250,0,0,50,0,0.6,1,,,,150,30,0,0.1,2.4,0,,0,5,0.1,200,,0.21,,,50,270,240,5,0
,"GRAPES, blue variety",,,13.1,,,,,,,,20,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,23,0,,,0,,0,,,,,,,,,,,,0
258,"GRAPES, Pale green variety",,71,16.5,,0.5,0.3,,,460,,20,0,0,0,0,0.2,100,0,0,230,,0.52,50,130,,,140,82,0.1,210,0,0,1,,,,130,30,0,0,,0,,0,,0,170,,0.08,,,30,110,170,1,0.1
,"GRAPE FRUIT, Marsh's seedless",,,10,,,,,,,,30,,0,,0,0,,,,,,0.2,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,"GRAPE FRUIT, triumph",,,7,,,,,,,,20,,0,,0,0,,,,,,0.2,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
261,"GUAVA, country",,51,11.2,,0.9,0.3,,,0,,10,0,4,0,0,0.1,0,0,0,0,,0.27,0,0,,,190,24,0.1,60,0,0.4,1,,,,0,28,91,0,,5.5,,14,,0,0,,0.14,,,60,0,0,212,0.2
,"GUAVA, hill",,,9,,,,,,,,50,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,HARFAROWRIE,,,5.9,,,,,,,,6,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,6,0,,,0,,0,,,,,,,,,,,,0
,JACK FRUIT,,,19.8,,,,,,,,20,,9,,0,0.1,,,,,,0.56,,,,,,24,0.1,,0,,1,,,,,41,0,,,0,,69,,,,,,,,,,,,0.1
,"JAMB, safed",,,3.7,,,,,,,,17,,0,,0,0,,,,,,0.1,,,,,,0,0,,0,,1,,,,,3,0,,,0,,0,,,,,,,,,,,,0
,JAMBU FRUIT,,,14,,,,,,,,15,,8,,0,0.1,,,,,,0.43,,,,,,39,0.2,,0,,1,,,,,15,55,,,26.2,,13,,,,,,,,,,,,0.2
,KORUKKAPALLI,,,16,,,,,,,,14,,51,,0,0.6,,,,,,1,,,,,,40,0,,0,,1,,,,,49,377,,,37,,109,,,,,,,,,,,,0
,LAKUCH,,,13.3,,,,,,,,50,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,LEMON,,,11.1,,,,,,,,70,,0,,0,0.1,,,,,,0.26,,,,,,19,0.1,,0,,1,,,,,10,270,,,0,,0,,,,,,,,,,,,0.1
,LEMON SWEET,,,7.3,,,,,,,,30,,0,,0,0.1,,,,,,0.7,,,,,,0,0,,0,,1,,,,,20,210,,,0,,0,,,,,,,,,,,,0
,LICHI,,,13.6,,,,,,,,10,,3,,0,0.3,,,,,,0.7,,,,,,10,0,,0,,1,,,,,35,159,,,124.9,,19,,,,,,,,,,,,0
,"LICHIES, bastard",,,13.1,,,,,,,,15,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,35,0,,,0,,0,,,,,,,,,,,,0
,LIME,,,10.9,,,,,,,,90,,0,,0,0,,,,,,0.3,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,"LIME, sweet, malta",,,7.8,,,,,,,,30,,0,,0,0.5,,,,,,1,,,,,,0,0,,0,,1,,,,,20,170,,,0,,0,,,,,,,,,,,,0
,"LIME, sweet, musambi",,,9.3,,,,,,,,40,,0,,0,0.2,,,,,,0.7,,,,,,0,0,,0,,1,,,,,30,490,,,0,,0,,,,,,,,,,,,0
,LOQUAT,,,9.6,,,,,,,,30,,0,,0,0.1,,,,,,1.3,,,,,,0,0,,0,,1,,,,,20,390,,,0,,0,,,,,,,,,,,,0
,MAHUA,,,22.7,,,,,,,,45,,0,,0,0,,,,,,0.23,,,,,,0,0,,0,,1,,,,,22,0,,,0,,0,,,,,,,,,,,,0
278,MANGO RIPE,fruits,74,16.9,,0.6,0.4,,,0,,14,2743,3,0,0,0.1,0,0,0,0,1,1.3,0,0,,,830,270,0.1,70,0,0.9,1,,,,0,16,205,0.1,1,26,,17,2,0.1,0,,0.1,,,130,0,0,16,0.3
,MANGOSTEEN,,,14.3,,,,,,,,10,,0,,0,0,,,,,,0.2,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,"MELON, musk",,,3.5,,,,,,,,32,,80,,0,0,,,,,,1.4,,,,,,31,0,,0,,1,,,,,14,341,,,104.6,,32,,,,,,,,,,,,0
,"MELON, sweeter",,,3.3,,,,,,,,11,,21,,0,0.1,,,,,,7.9,,,,,,13,0,,0,,1,,,,,12,160,,,27.3,,42,,,,,,,,,,,,0
,MULBERRY,,,10.3,,,,,,,,70,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,ORANGE,,,10.9,,,,,,,,26,,5,,0,0.6,,,,,,0.32,,,,,,9,0,,0,,1,,,,,20,9.3,,,4.5,,7,,,,,,,,,,,,0
,ORANGE JUICE,,,1.9,,,,,,,,5,,0,,0,0,,,,,,0.7,,,,,,0,0,,0,,1,,,,,9,0,,,0,,0,,,,,,,,,,,,0
,PALMYRA FRUIT ripe (mesocarp),,,20.7,,,,,,,,9,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,33,0,,,0,,0,,,,,,,,,,,,0
,"PALMYRA FRUIT, tender",,,6.5,,,,,,,,10,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
287,"PAPAYA, ripe",,32,7.2,,0.6,0.1,,,0,,17,66,11,0,0,0.2,0,0,0,0,,0.5,0,0,,,400,11,0,30,0,0.2,1,,,,0,13,69,0.3,,6,,13,,0,0,,0.1,,,130,0,0,57,0
,PASSION FRUIT,,,12.4,,,,,,,,10,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,60,0,,,0,,0,,,,,,,,,,,,0
,PASSION FRUIT JUICE,,,7.7,,,,,,,,10,,0,,0,0,,,,,,0.7,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
290,PEACHES,fruits,50,10.5,,1.2,0.3,,,130,,15,0,0,0,0,0.1,70,0,0,130,1.1,2.4,100,220,,,230,21,0,240,0,0.5,1,,,,14,41,453,0,0.5,2,,26,1.6,0,210,,0.19,,,30,160,310,6,0
,PEARS,,,11.9,,,,,,,,8,,1,,0,0.4,,,,,,0.5,,,,,,7,0,,0,,1,,,,,15,96,,,6.1,,14,,,,,,,,,,,,0
292,PERSIMMON,,76,17.9,,0.7,0.2,,,360,,15,2268,0,0,0,0,150,0,0,130,,0.3,280,400,,,320,0,0,60,0,0,1,,,,290,10,0,0,,0,,0,,0,380,,0.11,,,110,150,290,33,0
,PHALSA,,,14.7,,,,,,,,129,,86,,0,0.1,,,,,,3.1,,,,,,72,0,,0,,1,,,,,39,351,,,4.4,,13,,,,,,,,,,,,0
,PINE APPLE,,,10.8,,,,,,,,20,,13,,0,0.1,,,,,,2.42,,,,,,33,0.6,,0,,1,,,,,9,37,,,34.7,,20,,,,,,,,,,,,0.1
,PLUM,,,11.1,,,,,,,,10,,0,,0,0.1,,,,,,0.6,,,,,,147,0,,0,,1,,,,,12,247,,,0.8,,33,,,,,,,,,,,,0
,POMEGRANATE,,,14.5,,,,,,,,10,,2,,0,0.3,,,,,,1.79,,,,,,44,0.8,,0,,1,,,,,70,133,,,0.9,,12,,,,,,,,,,,,0.8
,PRUNES,,,12.8,,,,,,,,10,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,18,0,,,0,,0,,,,,,,,,,,,0
,PUMMELO,,,10.2,,,,,,,,30,,0,,0,0,,,,,,0.3,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,QUINCE,,,11.9,,,,,,,,10,,0,,0,0,,,,,,0.4,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
,RAISINS,,,74.6,,,,,,,,87,,0,,0,0,,,,,,7.7,,,,,,0,0,,0,,1,,,,,80,0,,,0,,0,,,,,,,,,,,,0
,RASPBERRY,,,11.7,,,,,,,,40,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0
,ROSE APPLE,,,8.5,,,,,,,,10,,4,,0,0,,,,,,0.5,,,,,,4,0,,0,,1,,,,,30,50,,,34.1,,13,,,,,,,,,,,,0
,SAPOTA,,,21.4,,,,,,,,28,,26,,0,0.1,,,,,,1.25,,,,,,25,0.7,,0,,1,,,,,27,269,,,5.9,,17,,,,,,,,,,,,0.2
,SEETHAPHAL,,,23.5,,,,,,,,17,,0,,0,0.4,,,,,,4.31,,,,,,84,0.6,,0,,1,,,,,47,0,,,0,,0,,,,,,,,,,,,0.8
305,STRAWBERRY,fruits,44,9.8,,0.7,0.2,,,270,,30,18,0,0,0,0,50,0,0,120,1.6,1.8,140,320,,,250,0,0,10,0,0.2,1,,,,180,30,0,0,0.7,0,,0,2.3,0,190,,0.11,,,70,210,180,52,0
,TOMATO RIPE,,,3.6,,,,,,,,48,,6,,0,0.2,,,,,,0.64,,,,,,0,0.3,,0,,1,,,,,20,146,,,12.9,,11,,,,,,,,,,,,0.4
,TOMATILO,,,5.8,,,,,,,,7,,14,,0,0.1,,,,,,1.4,,,,,,23,0,,0,,1,,,,,40,243,,,0.4,,27,,,,,,,,,,,,0
,TREE TOMATO,,,6.7,,,,,,,,12,,10,,0,0.2,,,,,,1,,,,,,34,0,,0,,1,,,,,46,539,,,1.7,,37,,,,,,,,,,,,0
,WOOD APPLE,,,18.1,,,,,,,,130,,0,,0,0.2,,,,,,0.48,,,,,,41,0.2,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0.5
,ZIZYPHUS,,,17,,,,,,,,4,,0,,0,0.1,,,,,,0.5,,,,,,13,0.2,,0,,1,,,,,9,0,,,0,,0,,,,,,,,,,,,0.1
,AIR,,,3.5,,,,,,,,380,,0,,0,0.1,,,,,,0.7,,,,,,0,0,,0,,1,,,,,180,0,,,0,,0,,,,,,,,,,,,0
,ANCHOVY,,,0.2,,,,,,,,143,,0,,0,0,,,,,,1.5,,,,,,0,0,,0,,1,,,,,174,0,,,0,,0,,,,,,,,,,,,0
,BACHA,,,6.1,,,,,,,,520,,0,,0,0.1,,,,,,0.7,,,,,,0,0,,0,,1,,,,,180,0,,,0,,0,,,,,,,,,,,,0
,BAM,,,6.9,,,,,,,,330,,0,,0,0.1,,,,,,0.8,,,,,,0,0,,0,,1,,,,,240,0,,,0,,0,,,,,,,,,,,,0
,BASPATA MACHLI,,,0,,,,,,,,175,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,225,0,,,0,,0,,,,,,,,,,,,0
,"BATA, small varieties",,,2.2,,,,,,,,790,,0,,0,0.2,,,,,,1.1,,,,,,0,0,,0,,1,,,,,200,0,,,0,,0,,,,,,,,,,,,0
,BELEY,,,2.9,,,,,,,,370,,0,,0,0,,,,,,1,,,,,,0,0,,0,,1,,,,,330,0,,,0,,0,,,,,,,,,,,,0
,"BHANGER, fresh",,,3.8,,,,,,,,182,,0,,0,0,,,,,,1.2,,,,,,0,0,,0,,1,,,,,190,0,,,0,,0,,,,,,,,,,,,0
,BHAGON dried,,,1.8,,,,,,,,6235,,0,,0,0,,,,,,9.3,,,,,,0,0,,0,,1,,,,,207,0,,,0,,0,,,,,,,,,,,,0
,BHANGAN BATA,,,6.7,,,,,,,,580,,0,,0,0,,,,,,1.1,,,,,,0,0,,0,,1,,,,,310,0,,,0,,0,,,,,,,,,,,,0
,BHEKTI fresh,,,3,,,,,,,,480,,0,,0,0.1,,,,,,3.1,,,,,,0,0,,0,,1,,,,,350,173,,,66,,0,,,,,,,,,,,,0
,BHEKTI dried,,,1.8,,,,,,,,939,,0,,0,0,,,,,,15,,,,,,0,0,,0,,1,,,,,347,0,,,0,,0,,,,,,,,,,,,0
,BHOLA,,,3.7,,,,,,,,550,,0,,0,0.1,,,,,,0.4,,,,,,0,0,,0,,1,,,,,580,0,,,0,,0,,,,,,,,,,,,0
,BIG JAWED JUMPER,,,0.1,,,,,,,,214,,0,,0,0,,,,,,3.4,,,,,,0,0,,0,,1,,,,,306,0,,,0,,0,,,,,,,,,,,,0
,BOAL,,,7.6,,,,,,,,160,,0,,0,0.1,,,,,,0.6,,,,,,0,0,,0,,1,,,,,490,0,,,0,,0,,,,,,,,,,,,0
,"BOMBAY DUCK, dried",,,2.5,,,,,,,,1389,,0,,0,0,,,,,,19.1,,,,,,0,0,,0,,1,,,,,240,0,,,0,,0,,,,,,,,,,,,0
,BLUE MUSSEL,,,3.6,,,,,,,,1134,,0,,0,0,,,,,,8,,,,,,0,0,,0,,1,,,,,286,0,,,0,,0,,,,,,,,,,,,0
,CAT FISH,,,0,,,,,,,,10,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,230,0,,,0,,0,,,,,,,,,,,,0
,CHELA,,,1.5,,,,,,,,590,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,340,0,,,0,,0,,,,,,,,,,,,0
,CHELA dried,,,0.1,,,,,,,,3590,,0,,0,0.5,,,,,,0,,,,,,0,0,,0,,1,,,,,2342,0,,,0,,0,,,,,,,,,,,,0
,CHINGRI small dried,,,1.9,,,,,,,,3539,,0,,0,0,,,,,,27.9,,,,,,0,0,,0,,1,,,,,354,0,,,0,,0,,,,,,,,,,,,0
,"CHINGRI goda, dried",,,4.6,,,,,,,,3847,,0,,0,1.4,,,,,,49.6,,,,,,0,0,,0,,1,,,,,828,0,,,0,,0,,,,,,,,,,,,0
,CHITAL,,,3.1,,,,,,,,180,,0,,0,0.2,,,,,,3,,,,,,0,0,,0,,1,,,,,250,119,,,34,,0,,,,,,,,,,,,0
,CRAB muscle,,,3.3,,,,,,,,1370,,0,,0,0,,,,,,21.2,,,,,,0,0,,0,,1,,,,,150,0,,,0,,0,,,,,,,,,,,,0
,CRAB small,,,9.1,,,,,,,,1606,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,253,0,,,0,,0,,,,,,,,,,,,0
,FOLUI,,,3.7,,,,,,,,590,,0,,0,0,,,,,,1.7,,,,,,0,0,,0,,1,,,,,450,0,,,0,,0,,,,,,,,,,,,0
,GHOL,,,0,,,,,,,,90,,0,,0,0,,,,,,2.1,,,,,,0,0,,0,,1,,,,,150,0,,,0,,0,,,,,,,,,,,,0
,GOGGLER,,,1,,,,,,,,437,,0,,0,0,,,,,,8.2,,,,,,0,0,,0,,1,,,,,349,0,,,0,,0,,,,,,,,,,,,0
,"HERRING, Indian",,,2.2,,,,,,,,429,,0,,0,0,,,,,,9.3,,,,,,0,0,,0,,1,,,,,305,0,,,0,,0,,,,,,,,,,,,0
,HERRING ox-eyed,,,0.8,,,,,,,,429,,0,,0,0,,,,,,6.3,,,,,,0,0,,0,,1,,,,,131,0,,,0,,0,,,,,,,,,,,,0
,HILSA,,,2.9,,,,,,,,180,,0,,0,0.1,,,,,,2.1,,,,,,0,0,,0,,1,,,,,280,183,,,52,,0,,,,,,,,,,,,0
,HORSE MACKEREL,,,0,,,,,,,,357,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,262,0,,,0,,0,,,,,,,,,,,,0
,INDIAN WHITING,,,1.6,,,,,,,,71,,0,,0,0,,,,,,2.2,,,,,,0,0,,0,,1,,,,,262,0,,,0,,0,,,,,,,,,,,,0
,JEW FISH (kora),,,0.2,,,,,,,,286,,0,,0,0,,,,,,4.4,,,,,,0,0,,0,,1,,,,,305,0,,,0,,0,,,,,,,,,,,,0
,JEW FISH (pallikora),,,0,,,,,,,,214,,0,,0,0,,,,,,4.8,,,,,,0,0,,0,,1,,,,,262,0,,,0,,0,,,,,,,,,,,,0
,KALABASU,,,2,,,,,,,,320,,0,,0,0,,,,,,0.8,,,,,,0,0,,0,,1,,,,,380,0,,,0,,0,,,,,,,,,,,,0
,KATLA,,,2.9,,,,,,,,530,,0,,0,0.1,,,,,,0.9,,,,,,0,0,,0,,1,,,,,235,151,,,50,,0,,,,,,,,,,,,0
,KHORSULA,,,1.5,,,,,,,,410,,0,,0,0.1,,,,,,0.6,,,,,,0,0,,0,,1,,,,,160,0,,,0,,0,,,,,,,,,,,,0
,KHOYRA fresh,,,5.2,,,,,,,,590,,0,,0,0,,,,,,0.7,,,,,,0,0,,0,,1,,,,,220,0,,,0,,0,,,,,,,,,,,,0
,KHOYRA dried,,,1.2,,,,,,,,0,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,0,0,,,0,,0,,,,,,,,,,,,0
,KOI,,,4.4,,,,,,,,410,,30,,0,0.2,,,,,,1.4,,,,,,0,0,,0,,1,,,,,390,195,,,0,,0,,,,,,,,,,,,0
,KOOCHA MACHLI,,,2.4,,,,,,,,185,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,119,0,,,0,,0,,,,,,,,,,,,0
,LATA,,,3.4,,,,,,,,610,,0,,0,0,,,,,,1.3,,,,,,0,0,,0,,1,,,,,530,0,,,0,,0,,,,,,,,,,,,0
,LOBSTER,,,0,,,,,,,,16,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,279,0,,,0,,0,,,,,,,,,,,,0
,MACKEREL,,,0.5,,,,,,,,429,,0,,0,0,,,,,,4.5,,,,,,0,0,,0,,1,,,,,305,0,,,0,,0,,,,,,,,,,,,0
,MAGUR,,,4.2,,,,,,,,210,,0,,0,0,,,,,,0.7,,,,,,0,0,,0,,1,,,,,290,147,,,64,,0,,,,,,,,,,,,0
,MAHASOLE,,,1,,,,,,,,130,,0,,0,0.1,,,,,,3.8,,,,,,0,0,,0,,1,,,,,280,0,,,58,,0,,,,,,,,,,,,0
,"MANDELI, dried",,,0,,,,,,,,143,,0,,0,0,,,,,,11.9,,,,,,0,0,,0,,1,,,,,259,0,,,0,,0,,,,,,,,,,,,0
,MRIGAL,,,3.2,,,,,,,,350,,0,,0,0.1,,,,,,1.1,,,,,,0,0,,0,,1,,,,,280,0,,,0,,0,,,,,,,,,,,,0
,MULLET,,,2.1,,,,,,,,357,,0,,0,0,,,,,,4.4,,,,,,0,0,,0,,1,,,,,175,0,,,0,,0,,,,,,,,,,,,0
,MUSHI dried,,,0,,,,,,,,541,,0,,0,0,,,,,,2.7,,,,,,0,0,,0,,1,,,,,507,0,,,0,,0,,,,,,,,,,,,0
,"MUSSEL, fresh water",,,2.1,,,,,,,,592,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,406,0,,,0,,0,,,,,,,,,,,,0
,"MUTIJELLA, dried",,,3,,,,,,,,7240,,0,,0,0,,,,,,1,,,,,,0,0,,0,,1,,,,,834,0,,,0,,0,,,,,,,,,,,,0
,OIL SARDINE,,,0.1,,,,,,,,357,,0,,0,0,,,,,,6.1,,,,,,0,0,,0,,1,,,,,349,0,,,0,,0,,,,,,,,,,,,0
,PABDA,,,4.6,,,,,,,,310,,0,,0,0.1,,,,,,1.3,,,,,,0,0,,0,,1,,,,,210,0,,,0,,0,,,,,,,,,,,,0
,PANGAS,,,1.7,,,,,,,,180,,0,,0,0.1,,,,,,0.5,,,,,,0,0,,0,,1,,,,,130,0,,,0,,0,,,,,,,,,,,,0
,PARSEY fresh,,,4.3,,,,,,,,850,,0,,0,0.1,,,,,,2.7,,,,,,0,0,,0,,1,,,,,490,0,,,0,,0,,,,,,,,,,,,0
,PARSEY dried,,,3,,,,,,,,2231,,0,,0,0,,,,,,17.4,,,,,,0,0,,0,,1,,,,,396,0,,,0,,0,,,,,,,,,,,,0
,"POMFRETS, black",,,1.5,,,,,,,,286,,0,,0,0,,,,,,2.3,,,,,,0,0,,0,,1,,,,,306,0,,,0,,0,,,,,,,,,,,,0
,"POMFRETS, white",,,1.8,,,,,,,,200,,0,,0,0,,,,,,0.9,,,,,,0,0,,0,,1,,,,,290,0,,,0,,0,,,,,,,,,,,,0
,PRAWN,,,0.8,,,,,,,,323,,0,,0,0,,,,,,5.3,,,,,,0,0,,0,,1,,,,,278,262,,,66,,0,,,,,,,,,,,,0
,PUTI,,,3.1,,,,,,,,110,,0,,0,0,,,,,,1,,,,,,0,0,,0,,1,,,,,96,0,,,0,,0,,,,,,,,,,,,0
,RAVAS,,,3.3,,,,,,,,405,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,335,0,,,0,,0,,,,,,,,,,,,0
,RAY,,,2.1,,,,,,,,214,,0,,0,0,,,,,,5.3,,,,,,0,0,,0,,1,,,,,262,0,,,0,,0,,,,,,,,,,,,0
,RIBBON FISH fresh,,,0.6,,,,,,,,214,,0,,0,0,,,,,,13.9,,,,,,0,0,,0,,1,,,,,218,0,,,0,,0,,,,,,,,,,,,0
,RIBBON FISH dried,,,0,,,,,,,,739,,0,,0,0,,,,,,4.2,,,,,,0,0,,0,,1,,,,,700,0,,,0,,0,,,,,,,,,,,,0
,ROHU,,,4.4,,,,,,,,650,,3,,0,0.1,,,,,,1,,,,,,13,0,,0,,1,,,,,175,288,,,101,,103,,,,,,,,,,,,0
,SARDINE,,,0,,,,,,,,90,,0,,0,0,,,,,,2.5,,,,,,0,0,,0,,1,,,,,360,0,,,0,,0,,,,,,,,,,,,0
,SARPUTI,,,2.3,,,,,,,,220,,0,,0,0.1,,,,,,0.5,,,,,,0,0,,0,,1,,,,,120,0,,,0,,0,,,,,,,,,,,,0
,SHARK,,,0.8,,,,,,,,357,,0,,0,0,,,,,,1.4,,,,,,0,0,,0,,1,,,,,262,0,,,0,,0,,,,,,,,,,,,0
,"SHRIMP (small, dried)",,,0,,,,,,,,4384,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,1160,0,,,0,,0,,,,,,,,,,,,0
,SEER,,,0,,,,,,,,71,,0,,0,0,,,,,,5.4,,,,,,0,0,,0,,1,,,,,572,0,,,0,,0,,,,,,,,,,,,0
,SILVER BELLY,,,0,,,,,,,,715,,0,,0,0,,,,,,2.2,,,,,,0,0,,0,,1,,,,,741,0,,,0,,0,,,,,,,,,,,,0
,SINGHALA,,,13.9,,,,,,,,98,,0,,0,0,,,,,,1.8,,,,,,0,0,,0,,1,,,,,152,0,,,0,,0,,,,,,,,,,,,0
,SINGHI,,,6.9,,,,,,,,670,,0,,0,0.2,,,,,,2.3,,,,,,0,0,,0,,1,,,,,650,223,,,53,,0,,,,,,,,,,,,0
,SOLE,,,2.2,,,,,,,,140,,0,,0,0.1,,,,,,0.5,,,,,,0,0,,0,,1,,,,,95,0,,,0,,0,,,,,,,,,,,,0
,SOLE (malahar),,,0,,,,,,,,1072,,0,,0,0,,,,,,0.5,,,,,,0,0,,0,,1,,,,,524,0,,,0,,0,,,,,,,,,,,,0
,SURMAI fresh,,,0,,,,,,,,92,,0,,0,0,,,,,,2,,,,,,0,0,,0,,1,,,,,161,0,,,0,,0,,,,,,,,,,,,0
,SURMAI dried,,,0,,,,,,,,148,,0,,0,0,,,,,,4.4,,,,,,0,0,,0,,1,,,,,172,0,,,0,,0,,,,,,,,,,,,0
