Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
34,"GREEN GRAM, whole",,334,56.7,,24,1.3,,,500,,124,94,12,167,0,0.4,60,0,0,170,,4.4,350,510,,,460,127,2.5,80,0.3,2.1,1,,,,350,326,843,0.3,,28,,188,,0.5,200,,3.84,,,60,100,320,0,3
,"GREEN GRAM, dhal",,,59.9,,,,,,,,75,,8,,0,0.4,,,,,,3.9,,,,,,122,1,,0.4,,1,,,,,405,1150,,,27.2,,214,,,,,,,,,,,,2.8
36,"HORSE GRAM, whole",,321,57.2,,22,0.5,,,530,,287,71,0,0,0,1.8,130,0,0,190,,6.77,370,540,,,520,156,1.6,70,0.7,1.5,1,,,,380,311,762,0.2,,11.5,,181,,0.4,230,,3.52,,,70,0,390,1,2.8
37,"KHESARI, dhal",,345,56.6,,28.2,0.6,,,490,,90,120,36,0,0,0.8,70,0,0,160,,6.3,410,410,,,470,92,0,30,0,2.9,1,,,,260,317,644,0.2,,37.7,,144,,0.4,140,,4.51,,,50,0,250,0,0
38,LENTIL,,343,59,2,25.1,0.7,0.16,0,540,0.04,69,270,19,299,0,1.6,70,36,14.5,160,,7.58,270,470,0,0.8,440,77,0.9,50,0.2,2.6,1,0.4,0,0.2,270,293,629,0.2,,40.1,0.04,104,,0.5,220,0.4,4.02,0.96,0.3,60,200,310,0,3
39,MOTH BEANS,,330,56.5,,23.6,1.1,,,0,,202,9,9,0,0,0.9,30,0,0,210,,9.5,310,420,,,340,225,0,60,0,1.5,1,,,,280,230,1096,0.1,,29.5,,180,,0.5,0,,3.78,,,40,0,200,2,0
40,PEAS green,pulses_and_legumes,93,15.9,,7.2,0.1,,,570,,20,83,20,20,0,0.2,80,0,0,130,7.2,1.5,290,380,,,400,34,0,60,0,0.8,1,,,,250,139,79,0,1.4,7.8,,95,8.6,0.3,240,,1.15,,,60,220,290,9,0
41,"PEAS, dry",,315,56.5,,19.7,1.1,,,570,,75,39,59,235,0,1.3,70,7.5,4.6,130,,7.05,280,430,,,440,100,0.6,50,0.6,3.4,1,,,,280,298,725,0.2,,20.4,,189,,0.5,240,,3.15,,,60,170,300,0,2.3
,"PEAS, roasted",,,58.8,,,,,,,,81,,73,,0,1.3,,,,,,6.4,,,,,,122,0,,0,,1,,,,,345,750,,,14.7,,200,,,,,,,,,,,,0
43,RAJMAH,,346,60.6,2.2,22.9,1.3,0.7,0,370,0.03,260,0,0,0,0,1.5,40,0,0,180,,5.1,300,470,0,0.5,460,184,1.6,60,0,0,1,0.2,0,0.3,340,410,0,0,,0,0.04,0,,0,270,0.2,3.66,1.2,0.4,60,100,330,0,4.5
