Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
"LETTUCE TREE LEAVES, mature",0,0,0,0,0,0,0,0,0,0,320,80,2.6,10.2
"LETTUCE TREE LEAVES, tender",0,0,0,0,0,0,0,0,0,0,170,60,3.6,3.2
MENATHAKKALI LEAVES,0,0,0,0,0,0,0,0,0,0,410,70,20.5,8.9
MAYALU,0,0,0,0,0,0,0,0,0,0,200,35,10,4.2
MINT,60,0,0,0.2,0.6,0,0.4,0,84,34,200,62,15.6,5.8
MODAKANTHAN KEERAI,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1
MUKARRATE KEERAI,0,0,0,0,0,0,0,0,0,0,667,99,18.4,7.2
MUSTARD LEAVES,0,0,0,0,0,0,0,0,0,0,155,26,16.3,3.2
NEERINGI,0,0,0,0,0,0,0,0,0,0,1550,82,9.2,8.6
PARSLEY,0,0,0,0,0,0,0,0,0,0,390,175,17.9,13.5
PARUPPU KEERAI,120,67.2,716,0.2,0,0,0,0,63,73,111,45,14.8,2.9
PONNANGANNI,46,0,0,0.2,0.5,0,0,0,13,0,510,60,1.63,11.6
PUMPKIN LEAVES,0,0,0,0,0,0,0,0,0,0,392,112,0,7.9
RADISH LEAVES,22,0,0,0,0,0,0.1,0,0,0,265,59,0.09,2.4
TABLE RADISH LEAVES,0,0,0,0,0,0,0,0,0,0,310,60,18,4.2
RAPE LEAVES,0,0,0,0,0,0,0,0,0,0,100,100,1.2,4
RAPE LEAVES,0,0,0,0,0,0,0,0,0,0,370,110,12.5,5.9
RAPE LEAVES (dried),0,0,0,0,0,0,0,0,0,0,3095,500,0,40.7
SAFFLOWER LEAVES,51,126.4,181,0.2,0,0,0,0,0,235,185,35,5.7,4.5
SHEPU,0,0,0,0,0,0,0,0,0,0,190,42,17.4,5.2
SPINACH,64,58.5,206,0.1,0.6,0,0.3,0,30,54,73,21,1.14,2.9
SPINACH stalks,0,0,0,0,0,0,0,0,0,0,90,20,1.6,3.8
SUSNI SAG,0,0,0,0,0,0,0,0,0,0,53,91,0,4.6
"TAMARIND LEAVES, tender",26,0,0,0,0.1,0,0.3,0,63,94,101,140,0.3,18.2
TURNIP GREENS,0,0,0,0,0,0,0,0,0,0,710,60,28.4,9.4
ARROW ROOT FLOUR,0,30,20,0,0,0,0,0,0,0,10,20,1,83.1
BANANA RHIZOME,0,0,0,0,0,0,0,0,0,0,25,10,1.1,11.8
BEET ROOT,9,59.8,43,0.3,0.2,0,0.9,0,14,24,18.3,55,1.19,8.8
CARROT,17,35.6,108,0.1,0.2,0,0.4,0,27,13,80,530,1.03,10.6
COLOCASIA,28,9,550,0.2,0.3,0,0.3,0,0,0,40,140,0.42,21.1
KHAMALU,0,0,0,0,0,0,0,0,0,0,16,31,0.5,18.1
MANGO GINGER,0,0,0,0,0,0,0,0,0,0,25,90,2.6,10.5
"ONION, big",16,4,127,0.2,0.2,0,0.4,0,0,0,46.9,50,0.6,11.1
"ONION, small",0,0,0,0,0,0,0,0,0,0,40,60,1.2,12.6
PARSNIP,0,0,0,0,0,0,0,0,0,0,50,40,0.5,23.2
POTATO,30,11,247,0.2,0.1,0.1,0.5,0,37,16,10,40,0.48,22.6
"RADISH, pink",196,63.5,10,0.1,0.2,0,0.7,0,0,0,50,20,0.37,6.8
