Food Name,Carotene(µg),Thiamine(mg),Riboflavin(mg),Niacin(mg),Folicacid(mg),Folicfree(mg),Vitamin-C(mg),Choline-(mg),Energy,Fat value,Protein
GIANT CHILLIES (capsicum),427,0.6,0.1,0.1,0,0,137,0,24,0.3,1.3
"JACK, tender",0,0.1,0,0.2,0,0,14,0,51,0.3,2.6
"JACK, fruit seed",0,0,0,0,0,0,0,52,133,0.4,6.6
KANKODA,1620,0.1,0.2,0.6,0,0,0,0,52,1,3.1
KARONDA fresh,0,0,0,0,0,0,0,0,42,2.9,1.1
KARONDA dry,0,0,0,0,0,0,0,0,364,9.6,2.3
KHEKSA,0,0,0,0,0,0,0,0,29,0.1,0.6
KOVAI,156,0.1,0.1,0.7,59,18,15,0,18,0.1,1.2
KNOL-KHOL,21,0.1,0.1,0.5,0,0,85,0,21,0.2,1.1
LADIES FINGERS,52,0.1,0.1,0.6,105.4,25.3,13,0,35,0.2,1.9
"LAKUCH, raw",0,0,0,0,0,0,0,0,73,1.2,1.6
LEEKS,18,0.2,0,0,0,0,11,0,77,0.1,1.8
"LOTUS STEM, dry",0,0.8,1.2,1.9,0,0,3,0,234,1.3,4.1
MANGO GREEN,90,0,0,0.2,0,0,3,0,44,0.1,0.7
ONION STALKS,195,0,0,0.3,0,0,17,0,41,0.2,0.9
PAPAYA GREEN,0,0,0,0.1,0,0,12,0,27,0.2,0.7
PARWAR,153,0.1,0.1,0.5,0,0,29,0,20,0.3,2
PINK BEANS,453,0.1,0,0.6,0,0,12,0,44,0.4,3.1
PLANTAIN FLOWER,27,0.1,0,0.4,0,0,16,0,34,0.7,1.7
"PLANTAIN, green",30,0.1,0,0.3,16.4,1.6,24,0,64,0.2,1.4
"PLANTAIN, stem",0,0,0,0.2,0,0,7,0,42,0.1,0.5
PUMPKIN,50,0.1,0,0.5,13,3,2,136,25,0.1,1.4
PUMPKIN flowers,0,0,0,0,0,0,0,0,39,0.8,2.2
RIDGE GOURD,43,0,0,0.2,0,0,5,0,17,0.1,0.5
SNAKE GOURD,96,0,0.1,0.3,15.5,7.5,0,0,18,0.3,0.5
"SUNDAKAI, dry",450,0,0,0,0,0,0,0,269,1.7,8.3
SWORD BEANS,24,0.1,0.1,0.5,0,0,12,0,44,0.2,2.7
"TINDA, tender",13,0,0.1,0.3,0,0,18,0,21,0.2,1.4
"TOMOTO, green",192,0.1,0,0.4,0,0,31,0,23,0.1,1.9
VEGETABLE MARROW,0,0,0,0.4,0,0,18,0,17,0.1,0.5
"WATER CHEST NUT, fresh",12,0.1,0.1,0.6,0,0,9,0,115,0.3,4.7
"WATER CHESTNUT, dry",0,0,0,0,0,0,0,0,330,0.8,13.4
ALMOND,0,0.2,0.6,4.4,0,0,0,0,655,58.9,20.8
ARECANUT,3,0,0,0,0,0,0,0,249,4.4,4.9
AVOCADOPEAR (nut),0,0,0,0,0,0,0,0,144,0.7,2.5
CASHEWNUT,60,0.6,0.2,1.2,0,0,0,0,596,46.9,21.2
CHILGOZA,0,0.3,0.3,3.6,0,0,0,0,615,49.3,13.9
"COCONUT,dry",0,0.1,0,3,16.5,15.3,7,0,662,62.3,6.8
"COCONUT, fresh",0,0.1,0.1,0.8,12.5,11.7,1,0,444,41.6,4.5
COCONUT tender,0,0,0,0,0,0,0,0,41,1.4,0.9
"COCONUT, milk",0,0.1,0,0.6,0,0,3,0,430,41,3.4
"COCONUT, water",0,0,0,0.1,0,0,2,0,24,0.1,1.4
"COCONUT, meal deoiled",0,0.1,0.6,6,0,0,5,0,312,2.8,23.8
GARDEN CRESS SEEDS,27,0.6,0.6,14.3,0,0,0,0,454,24.5,25.3
GINGELLY SEEDS,60,1,0.3,4.4,134,51,0,0,563,43.3,18.3
GROUNDNUT,37,0.9,0.1,19.9,20,16,0,224,567,40.1,25.3
"GROUNDNUT, roasted",0,0.4,0.1,22.1,0,0,0,0,570,39.8,26.2
GROUNDNUT CAKE,0,0,0,0,0,0,0,0,386,7.4,40.9
LINSEED,30,0.2,0.1,1,0,0,0,0,530,37.1,20.3
MUSTARD SEEDS,162,0.7,0.3,4,0,0,0,211,541,39.7,20
NIGER SEEDS,0,0.1,1,8.4,0,0,0,0,515,39,23.9
PISTACHIONUT,144,0.7,0.3,2.3,0,0,0,0,626,53.5,19.8
PIYAL SEEDS,0,0.7,0.5,1.5,0,0,5,0,656,59.1,19
SAFFLOWER SEEDS,0,0,0,0,0,0,0,0,356,25.6,13.5
SUNFLOWER SEEDS,0,0.9,0.2,4.5,0,0,1,0,620,52.1,19.8
WALNUT,6,0.5,0.4,1,0,0,0,0,687,64.5,15.6
WATER MELON SEEDS (kernal),0,0,0,0,0,0,0,0,628,52.6,34.1
ARISITHIPPILI,0,0,0,0,0,0,0,0,329,4.7,13.2
ASAFOETIDA,4,0,0,0.3,0,0,0,0,297,1.1,4
CARDAMOM,0,0.2,0.2,0.8,0,0,0,1550,229,2.2,10.2
"CHILLIES, dry",345,0.9,0.4,9.5,0,0,50,0,246,6.2,15.9
"CHILLIES, green",175,0.2,0.4,0.9,29,6,111,0,29,0.6,2.9
"CLOVES, dry",253,0.1,0.1,0,0,0,0,0,286,8.9,5.2
"CLOVES, green",72,0,0,0,0,0,0,0,159,5.9,2.3
CORIANDER,942,0.2,0.3,1.1,32,27.4,0,1077,288,16.1,14.1
CUMIN SEEDS,522,0.6,0.4,2.6,0,0,3,1065,356,15,18.7
FENUGREEK SEEDS,96,0.3,0.3,1.1,84,14.5,0,1161,333,5.8,26.2
"GARLIC, dry",0,0.1,0.2,0.4,0,0,13,0,145,0.1,6.3
"GINGER, fresh",40,0.1,0,0.6,0,0,6,0,67,0.9,2.3
LIME PEEL,0,0,0,0,0,0,0,0,129,0.5,1.8
MACE,3027,0.3,0.4,1.4,0,0,0,0,437,24.4,6.5
MANGO POWDER,0,0,0,0,0,0,0,0,337,7.8,2.8
NUTMEG,0,0.3,0,1.4,0,0,0,0,472,36.4,7.5
NUTMEG rind,0,0,0,0,0,0,0,0,52,0.4,1
OMUM,71,0.2,0.3,2.1,0,0,0,0,363,21.8,17.1
"PEPPER, dry",1080,0.1,0.1,1.4,0,0,0,0,304,6.8,11.5
"PEPPER, green",540,0.1,0,0.2,0,0,1,0,98,2.7,4.8
PEPPALI,0,0,0,0,0,0,0,0,310,2.3,6.4
POPPY SEEDS,0,0,0,0,0,0,0,0,408,19.3,21.7
TAMARIND PULP,60,0,0.1,0.7,0,0,3,0,283,0.1,3.1
TURMERIC,30,0,0,2.3,18,10,0,0,349,5.1,6.3
AMBADA,270,0,0,0.3,0,0,21,0,48,3,0.7
AMLA,9,0,0,0.2,0,0,600,256,58,0.1,0.5
APPLE,0,0,0,0,0,0,1,321,59,0.5,0.2
"APRICOT, fresh",2160,0,0.1,0.6,0,0,6,0,53,0.3,1
"APRICOT, dried",58,0.2,0,2.3,0,0,2,0,306,0.7,1.6
AVOCADO PEAR,0,0,0,0,0,0,0,0,215,22.8,1.7
BAEL FRUIT,55,0.1,0,1.1,0,0,8,0,137,0.3,1.8
BANANA RIPE,78,0.1,0.1,0.5,0,0,7,0,116,0.3,1.2
BANYAN TREE FIGS,0,0,0,0,0,0,0,0,72,2,1.7
BILIMBI,18,0.1,0,0.6,0,0,32,0,19,0.3,0.5
BREAD FRUIT,9,0,0.1,0,0,0,21,0,71,0.2,1.5
BULLOCK'S HEART,67,0,0.1,0.6,0,0,5,0,70,0.2,1.4
CAPE GOOSEBERRY,1428,0.1,0,0.3,0,0,49,0,53,0.2,1.8
CASHEW FRUIT,23,0,0.1,0.4,0,0,180,0,51,0.1,0.2
"CHERRIES, red",0,0.1,0.1,0.3,0,0,7,0,64,0.5,1.1
"CURRANTS, black",21,0,0.1,0.4,0,0,1,0,316,0.5,2.7
"DATES, dried",26,0,0,0.9,0,0,3,0,317,0.4,2.5
DATES fresh,162,0,0,0,0,0,0,0,144,0.4,1.2
FIGS (Ficus carcia),3,0.1,0.1,0.6,0,0,5,0,37,0.2,1.3
"GRAPES, blue variety",0,0,0,0.2,0,0,1,0,58,0.4,0.6
"GRAPES, Pale green variety",0,0,0,0,0,0,1,0,71,0.3,0.5
"GRAPE FRUIT, Marsh's seedless",0,0.1,0,0.3,0,0,0,0,45,0.1,1
"GRAPE FRUIT, triumph",0,0.1,0,0.3,0,0,31,0,32,0.1,0.7
"GUAVA, country",0,0,0,0.4,0,0,212,0,51,0.3,0.9
"GUAVA, hill",0,0,0,0.3,0,0,15,0,38,0.2,0.1
HARFAROWRIE,0,0,0,0,0,0,0,0,32,0.6,0.7
JACK FRUIT,175,0,0.1,0.4,0,0,7,0,88,0.1,1.9
"JAMB, safed",0,0,0,0.2,0,0,30,0,19,0.4,0.1
JAMBU FRUIT,48,0,0,0.2,0,0,18,7,62,0.3,0.7
KORUKKAPALLI,0,0.2,0.1,1.6,0,0,108,0,78,0.4,2.7
LAKUCH,254,0,0.1,0.3,0,0,135,0,66,1.1,0.7
LEMON,0,0,0,0.1,0,0,39,0,57,0.9,1
LEMON SWEET,0,0,0,0,0,0,45,0,35,0.3,0.7
LICHI,0,0,0.1,0.4,0,0,31,0,61,0.2,1.1
"LICHIES, bastard",0,0,0,0,0,0,0,0,61,0.3,1.4
LIME,15,0,0,0.1,0,0,63,0,59,1,1.5
"LIME, sweet, malta",0,0,0,0,0,0,54,0,36,0.2,0.7
"LIME, sweet, musambi",0,0,0,0,0,0,50,0,43,0.3,0.8
LOQUAT,599,0,0,0,0,0,0,0,43,0.3,0.6
MAHUA,307,0,0,0,0,0,40,0,111,1.6,1.4
MANGO RIPE,2743,0.1,0.1,0.9,0,0,16,0,74,0.4,0.6
MANGOSTEEN,0,0,0,0,0,0,0,0,60,0.1,0.5
"MELON, musk",169,0.1,0.1,0.3,0,0,26,0,17,0.2,0.3
